GRIB version number,BUFR version number,CREX version number,Effective date_es,Status
0,0,0,Experimental,Operational
,1,,1 de noviembre de 1988,Operational
,2,,1 de noviembre de 1993,Operational
,3,,2 de noviembre de 1994,Operational
,4,,8 de noviembre de 1995,Operational
,5,,6 de noviembre de 1996,Operational
,6,,5 de noviembre de 1997,Operational
,7,,4 de noviembre de 1998,Operational
,8,1,3 de mayo de 2000,Operational
,9,,8 de noviembre de 2000,Operational
1,10,2,7 de noviembre de 2001,Operational
2,11,3,5 de noviembre de 2003,Operational
3,12,4,2 de noviembre 2005,Operational
4,13,5,7 de noviembre de 2007,Operational
5,14,6,4 de noviembre de 2009,Operational
6,15,7,15 de septiembre de 2010,Operational
7,16,16,4 de mayo de 2011,Operational
8,17,17,2 de noviembre de 2011,Operational
9,18,18,2 de mayo de 2012,Operational
10,19,19,7 de noviembre de 2012,Operational
11,20,20,8 de mayo de 2013,Operational
12,21,21,14 de noviembre de 2013,Operational
13,22,22,7 de mayo de 2014,Operational
14,23,23,5 de noviembre de 2014,Operational
15,24,24,6 de mayo de 2015,Operational
16,25,25,11 de noviembre de 2015,Operational
17,26,26,4 de mayo de 2016,Operational
18,27,27,2 de noviembre de 2016,Operational
19,28,28,3 de mayo de 2017,Operational
20,29,29,8 de noviembre de 2017,Operational
21,30,30,2 de mayo de 2018,Operational
22,31,31,7 de noviembre de 2018,Operational
23,32,32,15 de mayo de 2019,Operational
24,33,33,6 de noviembre de 2019,Operational
25,34,34,6 de mayo de 2020,Operational
26,35,35,16 de noviembre de 2020,Operational
27,36,36,15 de junio de 2021,Operational
28-254,37-254,35-254,Versiones futuras,Operational
255,255,255,Faltante,Operational
