CodeFigure_OriginatingCentres,Name_OriginatingCentres_es,CodeFigure_SubCentres,Name_SubCentres_es,Status
,,0,No existe centro secundario,Operational
REGIÓN II,,,,Operational
34,"Tokio (CMRE), Servicio Meteorológico de Japón",207,Syowa,Operational
,,240,Kiyose,Operational
,,241,Proyecto de reanálisis,Operational
39,Beijing (CMRE),225,Beijing,Operational
,,226,Guangzhou,Operational
,,228,Urumuqi,Operational
40,Seúl,243,Seúl,Operational
,,245,Jincheon,Operational
110,"Hong-Kong, China",229,Hong-Kong,Operational
REGIÓN III,,,,Operational
46,Agencia del Espacio de Brasil – INPE,10,Cachoeira Paulista (INPE),Operational
,,11,Cuiaba (INPE),Operational
,,12,Brasilia (SEPIS — INMET),Operational
,,13,Fortaleza (FUNCEME),Operational
,,14,Natal (Centro naviero higrog.),Operational
,,15,Manaus (SIVAM),Operational
,,16,Natal (INPE),Operational
,,17,Boa Vista,Operational
,,18,SIPAM-Porto Velho-RO,Operational
,,19,SIPAM-Belém-PA,Operational
,,25,Universidad de São Paulo (USP),Operational
147,Comisión Nacional de Actividades Espaciales (CONAE) – Argentina,10,Córdoba,Operational
,,15,Ushuaia,Operational
,,20,Marambio,Operational
,,30,Santiago de Chile,Operational
,,40,Punta Arenas,Operational
,,50,Base Presidente Frei,Operational
,,60,Cotopaxi,Operational
148,Departamento de Control del Espacio Aéreo del Brasil (DECEA),1,Centro Integrado de Meteorología Aeronáutica (CIMAER),Operational
REGIÓN IV,,,,Operational
7,"Servicio Meteorológico Nacional de Estados Unidos, NCEP",1,Proyecto de reanálisis del NCEP,Operational
,,2,Productos por conjuntos del NCEP,Operational
,,3,Operaciones centrales del NCEP,Operational
,,4,Centro de Modelización Ambiental,Operational
,,5,Centro de Predicción Meteorológica,Operational
,,6,Centro de Predicción Oceánica,Operational
,,7,Centro de Predicción del Clima,Operational
,,8,Centro Meteorológico Aeronáutico,Operational
,,9,Centro de Predicción Tropical,Operational
,,10,Centro Nacional de Huracanes,Operational
,,11,Laboratorio de Perfeccionamiento de Técnicas del Servicio Meteorológico Nacional,Operational
,,12,Oficina de Investigaciones y Aplicaciones del NESDIS,Operational
,,13,Administración Federal de Aviación,Operational
,,14,Laboratorio de Desarrollo Meteorológico del Servicio Meteorológico Nacional,Operational
,,15,Proyecto de reanálisis regional de América del Norte,Operational
,,16,Centro de predicción meteorológica del espacio,Operational
,,17,División de sistemas globales ESRL,Operational
160,NOAA/NESDIS (EE. UU.),1,Centro Nacional de Datos Climáticos,Operational
