Code,Agency_es,Type_es,InstrumentShortName_es,InstrumentLongName_es,Status
10,BNSC,Radiómetro,AATSR,Radiómetro de exploración por pista avanzado,Operational
11,BNSC,Radiómetro,ATSR,Radiómetro de exploración por pista,Operational
12,BNSC,Radiómetro,ATSR-2,Radiómetro de exploración por pista-2,Operational
13,BNSC,Radiómetro,MWR,Radiómetro de microondas,Operational
30,CNES,Comunicaciones,ARGOS,,Operational
40,CNES,Lidar,Reflectores láser,,Operational
41,CNES,Lidar,DORIS,Orbitografía Doppler y posicionamiento por radio integrados por satélite,Operational
42,CNES,Lidar,DORIS-NG,Orbitografía Doppler y posicionamiento por radio integrados por satélite-NG,Operational
47,CNES,Altímetro de radar,POSEIDON-1 (SSALT1),Navegador orbital de posicionamiento para,Operational
98,CRCSS,Sonda para la temperaturaReceptor GPS y humedad atmosféricas,,,Operational
102,DLR,Radiómetro Sonda SPM CHAMP,,Receptor espacial TurboRogue SPM (TRSR),Operational
103,DLR,Radiómetro IGOR,,GPS integrado y receptor de ocultación,Operational
116,DLR,"Magnetómetro Equipo de gravedad CHAMP (Acelerómetro+SPM)",,Acelerómetro STAR,Operational
117,DLR,Magnetómetro Equipo de,,Magnetómetro Overhauser (OVM) y,Operational
120,AEE,Comunicaciones,Coms. ENVISAT,Paquete de comunicaciones en ENVISAT,Operational
121,AEE,Comunicaciones,Coms. ERS,Paquete de comunicaciones para ERS,Operational
130,AEE,Lidar,ALADIN,Instrumento lasérico Doppler para la investigación de la atmósfera,Operational
131,AEE,Lidar,ATLID,Lidar atmosférico,Operational
140,AEE,Radar,AMI/SAR/Imagen,Instrumentación de microondas activa. Modo imagen,Operational
141,AEE,Radar,AMI/SAR/onda,Instrumentación de microondas activa. Modo ondas,Operational
142,AEE,Radar,AMI/dispersómetro,Instrumentación de microondas activa. Modo viento,Operational
143,AEE,Radar,ASAR,ASAR,Operational
144,AEE,Radar de producción de imágenes por microondas,ASAR,Radar avanzado de apertura sintética (modo de imagen),Operational
145,AEE,Radar de producción de imágenes por microondas,ASAR,Radar avanzado de apertura sintética (modo de onda),Operational
146,AEE,Radar de perfil de las nubes y lluvia,CPR,Radar de nubes,Operational
147,AEE,Radar,RA-2/MWR,Altímetro de radar – 2,Operational
148,AEE,Radar,RA/MWR,Altímetro de radar,Operational
150,AEE,Dispersómetro,SCATTEROMETER,Dispersómetro,Operational
151,AEE,Radar de formación,SAR-C,Radar de apertura sintética (banda C),Operational
152,AEE,Exploración a través del nadir,SW,Sonda de vigilancia troposférica TROPOMI,Operational
161,AEE,Radiómetro,MIPAS,Sonda atmosférica pasiva por interferometría Michelson,Operational
162,AEE,Radiómetro productor de imágenes multiespectrales (microondas pasivo),MWR-2,Radiómetro de microondas-2,Operational
163,AEE,Instrumentos para el estudio de la química atmosférica,SOPRANO,Observación submilimétrica de los procesos en la absorción de importancia para el ozono,Operational
170,AEE,Instrumentos para el estudio de la química atmosférica,GOME,Experimento de vigilancia del ozono mundial,Operational
172,AEE,Espectrómetro,GOMOS,Vigilancia del ozono mundial por ocultación de estrellas,Operational
174,AEE,Espectrómetro,MERIS,Espectrómetro de imagenización de resolución media,Operational
