DateOfAssignment_en,CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_en,Status
Sin aplicación,00,0,Reservada,Operational
Antes,01,1,iMet-1-BB (Estados Unidos),Operational
Sin aplicación,02,2,Ausencia de radiosonda - objetivo pasivo (p. ej. reflector),Operational
Sin aplicación,03,3,Ausencia de radiosonda - objetivo activo (p. ej. transpondedor),Operational
Sin aplicación,04,4,Ausencia de radiosonda - perfilador pasivo de temperatura-humedad,Operational
Sin aplicación,05,5,Ausencia de radiosonda - perfilador activo de temperatura-humedad,Operational
Sin aplicación,06,6,Ausencia de radiosonda - sonda radioacústica,Operational
Antes,07,7,iMet-1-AB (Estados Unidos),Operational
Sin aplicación,08,8,Ausencia de radiosonda - . . . (reservada),Operational
Sin aplicación,09,9,Ausencia de radiosonda - sistema desconocido o no especificado,Operational
Antes,10,10,VIZ tipo A conmutado por presión (Estados Unidos),Operational
Antes,11,11,VIZ tipo B conmutado por tiempo (Estados Unidos),Operational
Antes,12,12,RS SDC (Space Data Corporation - Estados Unidos),Operational
Antes,13,13,Astor (ya no se fabrica - Australia),Operational
Antes,14,14,MICROSONDE VIZ MARK I (Estados Unidos),Operational
Antes,15,15,EEC Company tipo 23 (Estados Unidos),Operational
Antes,16,16,Elin (Austria),Operational
Antes,17,17,GRAW G. (Alemania),Operational
Antes,18,18,GRAW DFM-06 (Alemania),Operational
Antes,19,19,GRAW M60 (Alemania),Operational
Antes,20,20,MK3 del Servicio Meteorológico Indio (India),Operational
Antes,21,21,MICROSONDE VIZ/Jin Yang MARK I (República de Corea),Operational
Antes,22,22,Meisei RS2-80 (Japón),Operational
Antes,23,23,Mesural FMO 1950A (Francia),Operational
Antes,24,24,Mesural FMO 1945A (Francia),Operational
Antes,25,25,Mesural MH73A (Francia),Operational
Antes,26,26,Meteolabor Basora (Suiza),Operational
Antes,27,27,AVK-MRZ (Federación de Rusia),Operational
Antes,28,28,Meteorit Marz2-1 (Federación de Rusia),Operational
Antes,29,29,Meteorit Marz2-2 (Federación de Rusia),Operational
Antes,30,30,Oki RS2-80 (Japón),Operational
Antes,31,31,VIZ/Valcom tipo A conmutado por presión (Canadá),Operational
Antes,32,32,Shanghai Radio (China),Operational
Antes,33,33,MK3 del Servicio Meteorológico del Reino Unido (Reino Unido),Operational
Antes,34,34,Vinohrady (Chequia),Operational
Antes,35,35,Vaisala RS18 (Finlandia),Operational
Antes,36,36,Vaisala RS21 (Finlandia),Operational
Antes,37,37,Vaisala RS80 (Finlandia),Operational
Antes,38,38,VIZ LOCATE Loran-C (Estados Unidos),Operational
Antes,39,39,Sprenger E076 (Alemania),Operational
Antes,40,40,Sprenger E084 (Alemania),Operational
Antes,41,41,Sprenger E085 (Alemania),Operational
Antes,42,42,Sprenger E086 (Alemania),Operational
Antes,43,43,AIR IS - 4A – 1680 (Estados Unidos),Operational
Antes,44,44,AIR IS - 4A – 1680 X (Estados Unidos),Operational
Antes,45,45,RS MSS (Estados Unidos),Operational
Antes,46,46,AIR IS - 4A - 403 (Estados Unidos),Operational
Antes,47,47,Meisei RS2-91 (Japón),Operational
Antes,48,48,VALCOM (Canadá),Operational
Antes,49,49,VIZ MARK II (Estados Unidos),Operational
Antes,50,50,GRAW DFM-90 (Alemania),Operational
Antes,51,51,VIZ-B2 (Estados Unidos),Operational
Antes,52,52,Vaisala RS80-57H,Operational
Antes,53,53,AVK-RF95 (Federación de Rusia),Operational
Antes,54,54,GRAW DFM-97 (Alemania),Operational
Antes,55,55,Meisei RS-01G (Japón),Operational
Antes,56,56,M2K2 (Francia),Operational
Antes,57,57,M2K2 (Francia),Operational
Antes,58,58,AVK-BAR (Federación de Rusia),Operational
Antes,59,59,Radiosonda módem M2K2-R 1680 MHz RDF con chip sensor de presión (Francia),Operational
Antes,60,60,Vaisala RS80/MicroCora (Finlandia),Operational
Antes,61,61,"Vaisala RS80/Loran/DigiCora I, II o Marwin (Finlandia)",Operational
Antes,62,62,Vaisala RS80/PCCora (Finlandia),Operational
Antes,63,63,Vaisala RS80/Star (Finlandia),Operational
Antes,64,64,"Orbital Sciences Corporation, División de datos espaciales, radiosonda transpondedora, tipo 909-11-XX, donde XX corresponde al modelo del instrumento (Estados Unidos)",Operational
Antes,65,65,"Radiosonda transpondedora VIZ, modelo número 1499-520 (Estados Unidos)",Operational
Antes,66,66,Vaisala RS80/Autosonde (Finlandia),Operational
Antes,67,67,Vaisala RS80/DigiCora III (Finlandia),Operational
Antes,68,68,AVK-RZM-2 (Federación de Rusia),Operational
Antes,69,69,MARL-A o Vektor M-RZM-2 (Federación de Rusia),Operational
Antes,70,70,Vaisala RS92/Star (Finlandia),Operational
Antes,71,71,"Vaisala RS90/Loran/DigiCora I, II o Marwin (Finlandia)",Operational
Antes,72,72,Vaisala RS90/PC-Cora (Finlandia),Operational
Antes,73,73,Vaisala RS90/Autosonde (Finlandia),Operational
Antes,74,74,Vaisala RS90/Star (Finlandia),Operational
Antes,75,75,AVK-MRZ-ARMA (Federación de Rusia),Operational
Antes,76,76,AVK-RF95-ARMA (Federación de Rusia),Operational
Antes,77,77,GEOLINK GPSonde GL98 (Francia),Operational
Antes,78,78,Vaisala RS90/DigiCora III (Finlandia),Operational
Antes,79,79,"Vaisala RS92/Digicora I, II o Marwin (Finlandia)",Operational
Antes,80,80,Vaisala RS92/Digicora III (Finlandia),Operational
Antes,81,81,Vaisala RS92/Autosonda (Finlandia),Operational
