CREX2,GRIB2_BUFR4,OriginatingGeneratingCentre_es,Status
00000,0,Secretaría de la OMM,Operational
,,00001–00009: CMM,Operational
00001,1,Melbourne,Operational
00002,2,Melbourne,Operational
00003,3,),Operational
00004,4,Moscú,Operational
00005,5,Moscú,Operational
00006,6,),Operational
00007,7,"Servicio Meteorológico Nacional de EE.UU., Centros Nacionales de Predicción del Medio Ambiente (CNPMA)",Operational
00008,8,Centro de Telecomunicaciones del Servicio Meteorológico Nacional de EE.UU. (NWSTG),Operational
00009,9,Servicio Meteorológico Nacional de EE.UU. – Otros,Operational
,,00010–00025: Centros de la Región I,Operational
00010,10,El Cairo (CMRE),Operational
00011,11,),Operational
00012,12,Dakar (CMRE),Operational
00013,13,),Operational
00014,14,Nairobi (CMRE),Operational
00015,15,),Operational
00016,16,Casablanca (CMRE),Operational
00017,17,Túnez (CMRE),Operational
00018,18,Túnez-Casablanca (CMRE),Operational
00019,19,),Operational
00020,20,Las Palmas,Operational
00021,21,Argel (CMRE),Operational
00022,22,ACMAD,Operational
00023,23,Mozambique (CMN),Operational
00024,24,Pretoria (CMRE),Operational
00025,25,La Reunión (CMRE),Operational
,,00026–00040: Centros de la Región II,Operational
00026,26,Jabarovsk (CMRE),Operational
00027,27,),Operational
00028,28,Nueva Delhi (CMRE),Operational
00029,29,),Operational
00030,30,Novosibirsk (CMRE),Operational
00031,31,),Operational
00032,32,Tashkent (CMRE),Operational
00033,33,Yeddah (CMRE),Operational
00034,34,"Tokio (CMRE), Agencia Meteorológica del Japón",Operational
00035,35,),Operational
00036,36,Bangkok,Operational
00037,37,Ulaanbaatar,Operational
00038,38,Beijing (CMRE),Operational
00039,39,),Operational
00040,40,Seúl,Operational
,,00041–00050: Centros de la Región III,Operational
00041,41,Buenos Aires (CMRE),Operational
00042,42,),Operational
00043,43,Brasilia (CMRE),Operational
00044,44,),Operational
00045,45,Santiago,Operational
00046,46,Agencia Espacial Brasileña – INPE,Operational
00047,47,Colombia (CMN),Operational
00048,48,Ecuador (CMN),Operational
00049,49,Perú (CMN),Operational
00050,50,"Venezuela, República Bolivariana de (CMN)",Operational
,,00051–00063: Centros de la Región IV,Operational
00051,51,Miami (CMRE),Operational
00052,52,"Miami (CMRE), Centro Nacional de Huracanes",Operational
00053,53,Vigilancia del Servicio Meteorológico de Canadá,Operational
00054,54,Montreal (CMRE),Operational
00055,55,San Francisco,Operational
00056,56,Centro ARINC,Operational
