CodeFigure,Meaning_es,ChemicalFormula,Status
0,Ozono,O3,Operational
1,Vapor de agua,H2O,Operational
2,Metano,CH4,Operational
3,Dióxido de carbono,CO2,Operational
4,Monóxido de carbono,CO,Operational
5,Dióxido de nitrógeno,NO2,Operational
6,Monóxido de nitrógeno,N2O,Operational
7,Formaldehído,HCHO,Operational
8,Dióxido de azufre,SO2,Operational
9,Amoníaco,NH3,Operational
10,Catión de amonio,NH4+,Operational
11,Monóxido de nitrógeno,NO,Operational
12,Oxígeno atómico,O,Operational
13,Radical nitrato,NO3•,Operational
14,Radical hidroperoxilo,HOO•,Operational
15,Pentóxido de dinitrógeno,N2O5,Operational
16,Ácido nitroso,HONO,Operational
17,Ácido nítrico,HNO3,Operational
18,Ácido peroxinítrico,HO2NO2,Operational
19,Peróxido de hidrógeno,H2O2,Operational
20,Dihidrógeno,H2,Operational
21,Nitrógeno atómico,N,Operational
22,Anión de sulfato,SO42-,Operational
23,Radón atómico,Rn,Operational
24,Vapor de mercurio,Hg(0),Operational
25,Catión de mercurio II,Hg2+,Operational
26,Cloro atómico,Cl,Operational
27,Monóxido de cloro,ClO,Operational
28,Peróxido de dicloruro,Cl2O2,Operational
29,Ácido hipocloroso,HClO,Operational
30,Nitrato de cloro,ClONO2,Operational
31,Dióxido de cloro,ClO2,Operational
32,Bromo atómico,Br,Operational
33,Monóxido de bromo,BrO,Operational
34,Cloruro de bromo,BrCl,Operational
35,Bromuro de hidrógeno,BrH,Operational
36,Ácido hipobromoso,BrOH,Operational
37,Nitrato de bromo,BrONO2,Operational
38,Dioxígeno,O2,Operational
39,Cloruro de nitrilo,NO2Cl,Operational
40,Ácido sulfúrico,H2SO4,Operational
41,Sulfuro de hidrógeno,H2S,Operational
42,Trióxido de azufre,SO3,Operational
43,Bromo,Br2,Operational
44,Ácido fluorhídrico,HF,Operational
45,Hexafluoruro de azufre,SF6,Operational
46,Cloro,Cl2,Operational
47-9999,Reservadas,,Operational
10000,Radical hidroxilo,OH•,Operational
10001,Radical peroximetilo,CH3OO•,Operational
10002,Hiperóxido metilo,CH3O2H,Operational
10004,Metanol,CH3OH,Operational
10005,Ácido fórmico,CH3 OOH,Operational
10006,Cianuro de hidrógeno,CNH,Operational
10007,Acetonitrilo,CH3 CN,Operational
10008,Etano,C2 H6,Operational
10009,Eteno (= etileno),C2 H4,Operational
10010,Etino (= acetileno),C2 H2,Operational
10011,Etanol,C2 H5 OH,Operational
10012,Ácido acético,C2 H5 OOH,Operational
10013,Nitrato de peroxiacetilo,CH3 C(O)OONO2,Operational
10014,Propano,C3 H8,Operational
10015,Propeno,C3 H6,Operational
10016,Butanos (todos los isómeros),C4 H10,Operational
10017,Isopreno,C5 H10,Operational
10018,Alfa-pineno,C10 H16,Operational
10019,Beta pineno,C10 H16,Operational
10020,Limoneno,C10 H16,Operational
10021,Benceno,C6 H6,Operational
10022,Tolueno,C7 H8,Operational
10023,Xileno,C8 H10,Operational
10024,Ácido metanosulfónico,CH3 SO3 H,Operational
10025,Metilglioxal (2-oxopropanal),CH3 C(O)CHO,Operational
10026,Radical peroxiacetilo,CH3 C(O)OO•,Operational
10027,Ácido metacrílico (ácido 2-metilprop-2-enoico),CH2 C(CH3 )COOH,Operational
10028,Metacroleína (2-metilprop-2-enal),CH2 C(CH3 )CHO,Operational
10029,Acetona (propan-2-ona),CH3 C(O)CH3,Operational
10030,Radical dioxidanilo etílico,CH3 CH2 OO•,Operational
10031,"Butadieno (buta-1,3-dieno)",(CH2 CH) 2,Operational
10032,Acetaldehído (etanal),CH3 CHO,Operational
10033,Glicolaldehído (hidroxietanal),HOCH2 CHO,Operational
10034,"Cresol (metilfenol), todos los isómeros",CH3 C6 H4 OH,Operational
10035,Ácido peracético (ácido etanoperoxoico),CH3 C(O)OOH,Operational
10036,Radical 2-hidroxietiloxidanilo,HOCH2 CH2 O•,Operational
10037,Radical 2-hidroxietildioxidanilo,HOCH2 CH2 OO•,Operational
10038,Glioxal (oxoaldehído),OCHCHO,Operational
10039,Radical isopropildioxidanilo,(CH3 ) 2 CHOO•,Operational
10040,Hidroperóxido de isopropilo (2-hidroperoxipropano),(CH3 ) 2 CHOOH,Operational
10041,Hidroxiacetona (1-hidroxipropan-2-ona),CH3 C(O)CH2 OH,Operational
10042,Ácido peroxiacético (ácido etanoperoxoico),CH3 C(O)OOH,Operational
10043,Metilvinilcetona (but-3-en-2-ona),CH3 C(O)CHCH2,Operational
10044,Radical fenoxi,C6 H5O•,Operational
10045,Radical metilo,CH3 •,Operational
10046,Sulfuro de carbonilo (oxisulfuro de carbono),OCS,Operational
10047,Dibromometano,CH2 Br2,Operational
10048,Radical metoxi,CH3 O•,Operational
10049,Tribromometano,CHBr3,Operational
10050,Radical formilo (radical oxometilo),HOC•,Operational
10051,Radical hidroximetildioxidanilo,HOCH2 OO•,Operational
10052,Hidroperóxido de etilo,CH3 CH2 OOH,Operational
10053,Radical 3-hidroxipropildioxidanilo,HOCH2 CH2 CH2 OO•,Operational
10054,Hidroperóxido de 3-hidroxipropilo,HOCH2 CH2 CH2 OOH,Operational
10055,Metil peroxinitrato nitrato (nitroperoxi)metano,CH3 OONO2,Operational
