CodeFigure,UnitType_es,Meaning_es,conventional,IA5-ASCII,ITA2,SIDefinition,Note_es,NoteID,Status
001,Unidades básicas SI,metro,m,m,M,,(see Note 1),,Operational
002,Unidades básicas SI,kilogramo,kg,kg,KG,,,,Operational
003,Unidades básicas SI,segundo,s,s,S,,,,Operational
004,Unidades básicas SI,amperio,A,A,A,,,,Operational
005,Unidades básicas SI,kelvin,K,K,K,,,,Operational
006,Unidades básicas SI,mol,mol,mol,MOL,,,,Operational
007,Unidades básicas SI,candela,cd,cd,CD,,,,Operational
021,Unidades SI suplementarias,radián,rad,rad,RAD,,(see Note 1),,Operational
022,Unidades SI suplementarias,estereorradián,sr,sr,SR,,,,Operational
030,Unidades SI derivadas con nombres especiales,hertzio,Hz,Hz,HZ,,(see Note 1),,Operational
031,Unidades SI derivadas con nombres especiales,newton,N,N,N,,,,Operational
032,Unidades SI derivadas con nombres especiales,pascal,Pa,Pa,PAL,,,,Operational
033,Unidades SI derivadas con nombres especiales,julio,J,J,J,,,,Operational
034,Unidades SI derivadas con nombres especiales,vatio,W,W,W,,,,Operational
035,Unidades SI derivadas con nombres especiales,culombio,C,C,C,,,,Operational
036,Unidades SI derivadas con nombres especiales,voltio,V,V,V,,,,Operational
037,Unidades SI derivadas con nombres especiales,faradio,F,F,F,,,,Operational
038,Unidades SI derivadas con nombres especiales,ohmio,Ω,Ohm,OHM,,,,Operational
039,Unidades SI derivadas con nombres especiales,simensio,S,S,SIE,,,,Operational
040,Unidades SI derivadas con nombres especiales,weberio,Wb,Wb,WB,,,,Operational
041,Unidades SI derivadas con nombres especiales,tesla,T,T,T,,,,Operational
042,Unidades SI derivadas con nombres especiales,henrio,H,H,H,,,,Operational
060,Unidades SI derivadas con nombres especiales,grado Celsius,°C,Cel,CEL,,,,Operational
070,Unidades SI derivadas con nombres especiales,lumen,lm,lm,LM,,,,Operational
071,Unidades SI derivadas con nombres especiales,lux,lx,lx,LX,,,,Operational
080,Unidades SI derivadas con nombres especiales,becquerel,Bq,Bq,BQ,,,,Operational
081,Unidades SI derivadas con nombres especiales,grey,Gy,Gy,GY,,,,Operational
082,Unidades SI derivadas con nombres especiales,sievert,Sv,Sv,SV,,,,Operational
110,Otras unidades no SI reconocidas por la CGPM,grado (ángulo),º,deg,DEG,,(see Note 4),,Operational
111,Otras unidades no SI reconocidas por la CGPM,minuto (ángulo),‘,‘,MNT,,,,Operational
112,Otras unidades no SI reconocidas por la CGPM,segundo (ángulo),“,“,SEC,,,,Operational
120,Otras unidades no SI reconocidas por la CGPM,litro,l o L,l o L,L,,,,Operational
130,Otras unidades no SI reconocidas por la CGPM,minuto (tiempo),min,min,MIN,,,,Operational
131,Otras unidades no SI reconocidas por la CGPM,hora,h,h,HR,,,,Operational
132,Otras unidades no SI reconocidas por la CGPM,día,d,d,D,,,,Operational
150,Otras unidades no SI reconocidas por la CGPM,tonelada,t,t,TNE,,,,Operational
160,Otras unidades no SI reconocidas por la CGPM,electronvoltio,eV,eV,EV,,,,Operational
161,Otras unidades no SI reconocidas por la CGPM,unidad de masa atómica,u,u,U,,,,Operational
170,Otras unidades no SI reconocidas por la CGPM,unidad astronómica,AU,AU,ASU,,,,Operational
171,Otras unidades no SI reconocidas por la CGPM,parsec,pc,pc,PRS,,,,Operational
200,Unidades no SI toleradas por ser de uso extendido,milla náutica,,,,,,,Operational
