"No","CodeFigure_OriginatingCentres","Name_OriginatingCentres_en","CodeFigure_SubCentres","Name_SubCentres_en","Status"
1,,,"0","No sub-centre","Operational"
2,,"REGION I",,,"Operational"
3,,,,,"Operational"
4,,"REGION II",,,"Operational"
5,"34","Tokyo (RSMC), Japan Meteorological Agency","207","Syowa","Operational"
6,"34","Tokyo (RSMC), Japan Meteorological Agency","240","Kiyose","Operational"
7,"34","Tokyo (RSMC), Japan Meteorological Agency","241","Reanalysis project","Operational"
8,"39","Beijing (RSMC)","225","Beijing","Operational"
9,"39","Beijing (RSMC)","226","Guangzhou","Operational"
10,"39","Beijing (RSMC)","228","Urumuqi","Operational"
11,"40","Seoul","243","Seoul","Operational"
12,"40","Seoul","245","Jincheon","Operational"
13,"110","Hong-Kong, China","229","Hong-Kong","Operational"
14,,"REGION III",,,"Operational"
15,"46","Brazilian Space Agency ­ INPE","10","Cachoeira Paulista (INPE)","Operational"
16,"46","Brazilian Space Agency ­ INPE","11","Cuiaba (INPE)","Operational"
17,"46","Brazilian Space Agency ­ INPE","12","Brasilia (INMET)","Operational"
18,"46","Brazilian Space Agency ­ INPE","13","Fortaleza (FUNCEME)","Operational"
19,"46","Brazilian Space Agency ­ INPE","14","Natal (Navy Hygrog. Centre)","Operational"
20,"46","Brazilian Space Agency ­ INPE","15","Manaus (SIVAM)","Operational"
21,"46","Brazilian Space Agency ­ INPE","16","Natal (INPE)","Operational"
22,"46","Brazilian Space Agency ­ INPE","17","Boa Vista","Operational"
23,"46","Brazilian Space Agency ­ INPE","25","São Paulo University - USP","Operational"
24,"147","National Commission on Space Activities (CONAE) - Argentina","10","Córdoba","Operational"
25,"147","National Commission on Space Activities (CONAE) - Argentina","15","Ushuaia","Operational"
26,"147","National Commission on Space Activities (CONAE) - Argentina","20","Marambio","Operational"
27,"147","National Commission on Space Activities (CONAE) - Argentina","30","Santiago de Chile","Operational"
28,"147","National Commission on Space Activities (CONAE) - Argentina","40","Punta Arenas","Operational"
29,"147","National Commission on Space Activities (CONAE) - Argentina","50","Base Presidente Frei","Operational"
30,"147","National Commission on Space Activities (CONAE) - Argentina","60","Cotopaxi","Operational"
31,,"REGION IV",,,"Operational"
32,"7","US National Weather Service, NCEP","1","NCEP Reanalysis Project","Operational"
33,"7","US National Weather Service, NCEP","2","NCEP Ensemble Products","Operational"
34,"7","US National Weather Service, NCEP","3","NCEP Central Operations","Operational"
35,"7","US National Weather Service, NCEP","4","Environmental Modeling Center","Operational"
36,"7","US National Weather Service, NCEP","5","Weather Prediction Center","Operational"
37,"7","US National Weather Service, NCEP","6","Ocean Prediction Center","Operational"
38,"7","US National Weather Service, NCEP","7","Climate Prediction Center","Operational"
39,"7","US National Weather Service, NCEP","8","Aviation Weather Center","Operational"
40,"7","US National Weather Service, NCEP","9","Storm Prediction Center","Operational"
41,"7","US National Weather Service, NCEP","10","National Hurricane Center","Operational"
42,"7","US National Weather Service, NCEP","11","NWS Techniques Development Laboratory","Operational"
43,"7","US National Weather Service, NCEP","12","NESDIS Office of Research and Applications","Operational"
