CodeFigureForI6I6I6,CodeFigureForBUFR,CodeFigureForGRIB2,SatelliteName_en,Status
470,470,470,INSAT 3A,Operational
471,471,471,INSAT 3D,Operational
472,472,472,INSAT 3E,Operational
473,473,473,INSAT 3DR,Operational
474,474,474,INSAT 3DS,Operational
,,,500-599: Numbers allocated to China,Operational
500,500,500,FY-1C,Operational
501,501,501,FY-1D,Operational
502,502,502,"Hai Yang 2A (HY-2A, SOA/NSOAS China)",Operational
503,503,503,"Hai Yang 2B (HY-2B, SOA/NSOAS China)",Operational
504,504,504,"Hai Yang 2C (HY-2C, SOA/NSOAS China)",Operational
510,510,510,FY-2,Operational
512,512,512,FY-2B,Operational
513,513,513,FY-2C,Operational
514,514,514,FY-2D,Operational
515,515,515,FY-2E,Operational
516,516,516,FY-2F,Operational
517,517,517,FY-2G,Operational
518,518,518,FY-2H,Operational
520,520,520,FY-3A,Operational
521,521,521,FY-3B,Operational
522,522,522,FY-3C,Operational
523,523,523,FY-3D,Operational
530,530,530,	FY-4A,Operational
,,,600-699: Numbers allocated to Europe,Operational
,,,700-799: Numbers allocated to the United States,Operational
700,700,700,TIROS M (ITOS 1),Operational
701,701,701,NOAA 1,Operational
702,702,702,NOAA 2,Operational
703,703,703,NOAA 3,Operational
704,704,704,NOAA 4,Operational
705,705,705,NOAA 5,Operational
706,706,706,NOAA 6,Operational
707,707,707,NOAA 7,Operational
708,708,708,TIROS-N,Operational
710,710,710,GOES (SMS 1),Operational
711,711,711,GOES (SMS 2),Operational
720,720,720,TOPEX,Operational
721,721,721,GFO (GEOSAT follow on),Operational
722,722,722,GRACE A,Operational
723,723,723,GRACE B,Operational
724,724,724,COSMIC-2 P1,Operational
725,725,725,COSMIC-2 P2,Operational
726,726,726,COSMIC-2 P3,Operational
727,727,727,COSMIC-2 P4,Operational
728,728,728,COSMIC-2 P5,Operational
729,729,729,COSMIC-2 P6,Operational
731,731,731,GOES 1,Operational
732,732,732,GOES 2,Operational
733,733,733,GOES 3,Operational
734,734,734,GOES 4,Operational
735,735,735,GOES 5,Operational
740,740,740,COSMIC-1,Operational
741,741,741,COSMIC-2,Operational
742,742,742,COSMIC-3,Operational
743,743,743,COSMIC-4,Operational
744,744,744,COSMIC-5,Operational
745,745,745,COSMIC-6,Operational
750,750,750,COSMIC-2 E1,Operational
751,751,751,COSMIC-2 E2,Operational
752,752,752,COSMIC-2 E3,Operational
753,753,753,COSMIC-2 E4,Operational
754,754,754,COSMIC-2 E5,Operational
755,755,755,COSMIC-2 E6,Operational
763,763,763,NIMBUS 3,Operational
764,764,764,NIMBUS 4,Operational
765,765,765,NIMBUS 5,Operational
766,766,766,NIMBUS 6,Operational
767,767,767,NIMBUS 7,Operational
780,780,780,ERBS,Operational
781,781,781,UARS,Operational
782,782,782,EARTH PROBE,Operational
783,783,783,TERRA,Operational
784,784,784,AQUA,Operational
785,785,785,AURA,Operational
786,786,786,C/NOFS,Operational
787,787,787,CALIPSO,Operational
788,788,788,CloudSat,Operational
,,,800-849 Numbers allocated to other satellite operators,Operational
800,800,800,SUNSAT,Operational
801,801,801,International Space Station (ISS),Operational
802,802,802,CFOSAT,Operational
803,803,803,GRACE C (GRACE-FO),Operational
804,804,804,GRACE D (GRACE-FO),Operational
810,810,810,COMS,Operational
811,811,811,GEO-KOMPSAT-2A,Operational
812,812,812,SCISAT-1,Operational
813,813,813,ODIN,Operational
820,820,820,SAC-C,Operational
821,821,821,SAC-D,Operational
825,825,825,KOMPSAT-5,Operational
850,850,850,Combination of TERRA and AQUA,Operational
851,851,851,Combination of NOAA 16 to NOAA 19,Operational
852,852,852,Combination of Metop-1 to Metop-3,Operational
853,853,853,Combination of METEOSAT and DMSP,Operational
854,854,854,Non-specific mixture of geostationary and low Earth-orbiting satellites,Operational
855,855,855,Combination of INSAT 3D and INSAT 3DR,Operational
856,856,856,Combination of Sentinel-3 satellites,Operational
870-998,870-998,870-998,Reserved,Operational
999 Missing value,999-1022,999-65534,Reserved,Operational
,1023,65535,Missing value,Operational
