"No","Code","Agency_en","Type_en","InstrumentShortName_en","InstrumentLongName_en"
74.00,"221","CNES/EUMETSAT","Atmospheric temperature and humidity sounder","IASI","Infrared atmospheric sounding interferometer",
75.00,"240","CAST","Communications","DCP","Data-collection platform transponder",
76.00,"245","CAST","Radiometer","CCD","High-resolution CCD camera",
77.00,"246","INPE","Atmospheric temperature and humidity sounder","HSB","Humidity sounder/Brazil",
78.00,"248","INPE","Imaging multi-spectral radiometer (vis/IR)","OBA","Observador Brasileiro da Amazonia",
79.00,"250","CAST","Radiometer","WFI","Wide field imager",
80.00,"255","CAST","Spectrometer","IRMSS","Infrared multispectral scanner",
81.00,"260","ISRO","Precision orbit","BSS & FSS transponders",,
82.00,"261","ISRO","Precision orbit","DRT-S&R",,
83.00,"262","ISRO","Communications","INSAT Comms","Communications package for INSAT",
84.00,"268","ISRO","High-resolution optical imager","HR-PAN","High-resolution panchromatic camera",
85.00,"269","ISRO","Imaging multi-spectral radiometer (passive microwave)","MSMR","Multifrequency scanning microwave radiometer",
86.00,"270","ISRO","Imaging multi-spectral radiometer (vis/IR)","VHRR","Very high-resolution radiometer",
87.00,"271","ISRO","Imaging multi-spectral radiometer (vis/IR)","WiFS","Wide field sensor",
88.00,"275","ISRO","High-resolution optical imager","AWiFS","Advanced wide field sensor",
89.00,"276","ISRO","High-resolution optical imager","LISS-I","Linear imaging self scanner-I",
90.00,"277","ISRO","High-resolution optical imager","LISS-II","Linear imaging self scanner-II",
91.00,"278","ISRO","High-resolution optical imager","LISS-III","Linear imaging self scanner-III",
92.00,"279","ISRO","High-resolution optical imager","LISS-IV","Linear imaging self scanner-IV",
93.00,"284","ISRO","High-resolution optical imager","PAN","Panchromatic sensor",
94.00,"285","ISRO","Imaging multi-spectral radiometer (vis/IR)","MOS","Modular opto-electronic scanner",
95.00,"286","ISRO","Ocean colour instrument","OCM","Ocean colour monitor",
96.00,"287","ASI",,"ROSA","Radio Occultation Sounder of the Atmosphere",
97.00,"288","ISRO","Scatterometer","SCAT","Scatterometer",
98.00,"289","ISRO","Optical imager","IMG","Imager",
