"No","Code","Agency_en","Type_en","InstrumentShortName_en","InstrumentLongName_en"
329.00,"947","NOAA","Total and profile ozone","OMPS","Ozone mapping and profiler suite",
330.00,"948","NOAA","Space environment atmospheric temperature and humidity sounder","GPSOS","Global positioning system occultation sensor",
331.00,"949","NOAA","Magnetic field, auroal imagery scintillation boundary","SESS","Space environmental sensor suite",
332.00,"950","NRSCC","Imaging multi-spectral radiometer (vis/IR)","VIRR","Multispectral visible and infrared scan radiometer (10 channels)",
333.00,"951","NRSCC","Total and profile ozone","TOM","Total ozone mapper",
334.00,"952","NRSCC","Total and profile ozone","OP","Ozone profiler",
335.00,"953","CMA","Microwave sounding radiometer, crosstrack scanning","MWHS-2","Microwave humidity sounder-2",
336.00,"954","CMA","Microwave sounding radiometer, crosstrack scanning","MWTS-2","Microwave temperature sounder-2",
337.00,"955","CMA","Cross-nadir scanning IR sounder","HIRAS","Hyperspectral infrared atmospheric sounder",
338.00,"956","CMA","Spectrometer","SBUS","Solar backscatter ultraviolet sounder",
339.00,"957","CMA","Spectrometer","TOU","Total ozone unit",
340.00,"958","CMA","GNSS occultation sounder","GNOS","Global navigation satellite system occultation sounder",
341.00,"959","SNSB","Limb-scanning sounder","SMR","Sub-millimetre radiometer",
342.00,"960","Reserved",,,,
343.00,"961","CMA","Imaging multi-spectral radiometer","AGRI","Advanced Geostationary Radiation Imager",
344.00,"962","CMA","Atmospheric temperature and humidity sounder","GIIRS","Geostationary Interferometric Infrared Sounder",
345.00,"963","CMA","High-resolution optical imager","LMI","Lightning Mapping Imager",
346.00,"964","CMA","Space environment","SEP","Space Environment Package",
347.00,"965-979","Reserved",,,,
348.00,"980","KMA","Imager","AMI","Advanced Meteorological Imager",
349.00,"981","KMA","Imager","MI","Meteorological Imager",
350.00,"982","KMA","Space environment","KSEM","Korea Space wEather Monitor",
351.00,"983-999","Reserved",,,,
352.00,"1000-2046","Reserved for long-term future use",,,,
353.00,"2047","Missing value",,,,
