CREX2,GRIB2_BUFR4,OriginatingGeneratingCentre,OriginatingGeneratingCentre_ia5,Status
00000,0,WMO Secretariat,WMO Secretariat,Operational
,,00001-00009: WMCs,00001-00009: WMCs,Operational
00001,1,Melbourne,Melbourne,Operational
00002,2,Melbourne,Melbourne,Operational
00003,3,),),Operational
00004,4,Moscow,Moscow,Operational
00005,5,Moscow,Moscow,Operational
00006,6,),),Operational
00007,7,"US National Weather Service, National Centres for Environmental Prediction (NCEP)","US National Weather Service, National Centres for Environmental Prediction (NCEP)",Operational
00008,8,US National Weather Service Telecommunications Gateway (NWSTG),US National Weather Service Telecommunications Gateway (NWSTG),Operational
00009,9,US National Weather Service - Other,US National Weather Service - Other,Operational
,,00010-00025: Centres in Region I,00010-00025: Centres in Region I,Operational
00010,10,Cairo (RSMC),Cairo (RSMC),Operational
00011,11,),),Operational
00012,12,Dakar (RSMC),Dakar (RSMC),Operational
00013,13,),),Operational
00014,14,Nairobi (RSMC),Nairobi (RSMC),Operational
00015,15,),),Operational
00016,16,Casablanca (RSMC),Casablanca (RSMC),Operational
00017,17,Tunis (RSMC),Tunis (RSMC),Operational
00018,18,Tunis-Casablanca (RSMC),Tunis-Casablanca (RSMC),Operational
00019,19,),),Operational
00020,20,Las Palmas,Las Palmas,Operational
00021,21,Algiers (RSMC),Algiers (RSMC),Operational
00022,22,ACMAD,ACMAD,Operational
00023,23,Mozambique (NMC),Mozambique (NMC),Operational
00024,24,Pretoria (RSMC),Pretoria (RSMC),Operational
00025,25,La Réunion (RSMC),La Reunion (RSMC),Operational
,,00026-00040: Centres in Region II,00026-00040: Centres in Region II,Operational
00026,26,Khabarovsk (RSMC),Khabarovsk (RSMC),Operational
00027,27,),),Operational
00028,28,New Delhi (RSMC),New Delhi (RSMC),Operational
00029,29,),),Operational
00030,30,Novosibirsk (RSMC),Novosibirsk (RSMC),Operational
00031,31,),),Operational
00032,32,Tashkent (RSMC),Tashkent (RSMC),Operational
00033,33,Jeddah (RSMC),Jeddah (RSMC),Operational
00034,34,"Tokyo (RSMC), Japan Meteorological Agency","Tokyo (RSMC), Japan Meteorological Agency",Operational
00035,35,),),Operational
00036,36,Bangkok,Bangkok,Operational
00037,37,Ulaanbaatar,Ulaanbaatar,Operational
00038,38,Beijing (RSMC),Beijing (RSMC),Operational
00039,39,),),Operational
00040,40,Seoul,Seoul,Operational
,,00041-00050: Centres in Region III,00041-00050: Centres in Region III,Operational
00041,41,Buenos Aires (RSMC),Buenos Aires (RSMC),Operational
00042,42,),),Operational
00043,43,Brasilia (RSMC),Brasilia (RSMC),Operational
00044,44,),),Operational
00045,45,Santiago,Santiago,Operational
00046,46,Brazilian Space Agency INPE,Brazilian Space Agency INPE,Operational
00047,47,Colombia (NMC),Colombia (NMC),Operational
00048,48,Ecuador (NMC),Ecuador (NMC),Operational
00049,49,Peru (NMC),Peru (NMC),Operational
00050,50,Venezuela (Bolivarian Republic of) (NMC),Venezuela (Bolivarian Republic of) (NMC),Operational
,,00051-00063: Centres in Region IV,00051-00063: Centres in Region IV,Operational
00051,51,Miami (RSMC),Miami (RSMC),Operational
00052,52,"Miami RSMC, National Hurricane Centre","Miami RSMC, National Hurricane Centre",Operational
00053,53,MSC Monitoring,MSC Monitoring,Operational
00054,54,Montreal (RSMC),Montreal (RSMC),Operational
00055,55,San Francisco,San Francisco,Operational
00056,56,ARINC Centre,ARINC Centre,Operational
00057,57,US Air Force - Air Force Global Weather Central,US Air Force - Air Force Global Weather Central,Operational
00058,58,"Fleet Numerical Meteorology and Oceanography Center, Monterey, CA, United States","Fleet Numerical Meteorology and Oceanography Center, Monterey, CA, United States",Operational
00059,59,"The NOAA Forecast Systems Laboratory, Boulder, CO, United States","The NOAA Forecast Systems Laboratory, Boulder, CO, United States",Operational
00060,60,United States National Center for Atmospheric Research (NCAR),United States National Center for Atmospheric Research (NCAR),Operational
00061,61,Service ARGOS - Landover,Service ARGOS - Landover,Operational
00062,62,US Naval Oceanographic Office,US Naval Oceanographic Office,Operational
00063,63,International Research Institute for Climate and Society (IRI),International Research Institute for Climate and Society (IRI),Operational
,,00064-00073: Centres in Region V,00064-00073: Centres in Region V,Operational
00064,64,Honolulu (RSMC),Honolulu (RSMC),Operational
00065,65,Darwin (RSMC),Darwin (RSMC),Operational
00066,66,),),Operational
00067,67,Melbourne (RSMC),Melbourne (RSMC),Operational
00068,68,Reserved,Reserved,Operational
00069,69,Wellington (RSMC),Wellington (RSMC),Operational
00070,70,),),Operational
00071,71,Nadi (RSMC),Nadi (RSMC),Operational
00072,72,Singapore,Singapore,Operational
00073,73,Malaysia (NMC),Malaysia (NMC),Operational
,,00074-00099: Centres in Region VI,00074-00099: Centres in Region VI,Operational
00074,74,UK Meteorological Office Exeter (RSMC),UK Meteorological Office Exeter (RSMC),Operational
00075,75,),),Operational
00076,76,Moscow (RSMC),Moscow (RSMC),Operational
00077,77,Reserved,Reserved,Operational
00078,78,Offenbach (RSMC),Offenbach (RSMC),Operational
00079,79,),),Operational
00080,80,Rome (RSMC),Rome (RSMC),Operational
00081,81,),),Operational
00082,82,Norrköping,Norrkoping,Operational
00083,83,),),Operational
00084,84,Toulouse (RSMC),Toulouse (RSMC),Operational
00085,85,Toulouse (RSMC),Toulouse (RSMC),Operational
00086,86,Helsinki,Helsinki,Operational
00087,87,Belgrade,Belgrade,Operational
