CodeFigureForrara,CodeFigureForBUFR,RadiosondeSoundingSystemUsed_en
53,153,AVK - I-2012 (Russian Federation)
54,154,Graw DFM-17 (Germany)
55-59,155-159,Not vacant
60,160,MARL-A or Vektor-M - I-2012 (Russian Federation)
61,161,Not vacant
62,162,MARL-A or Vektor-M - MRZ-3MK (Russian Federation)
63,163,"Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity sensor, and derived pressure from GPS height (France)"
64,164,Modem PilotSonde GPS radiosonde (France)
65-66,165-166,Vacant
67-72,167-172,Not vacant
73,173,МАRL-A (Russian Federation) - ASPAN-15 (Kazakhstan)
74-76,174-176,Not vacant
77,177,Modem GPSonde M10 (France)
78-81,178-181,Not vacant
82,182,Lockheed Martin LMS-6 w/chip thermistor; external boom mounted polymer capacitive relative humidity sensor; capacitive pressure sensor and GPS wind
83,183,"Vaisala RS92-D/Intermet IMS 1500 w/silicon capacitive pressure sensor, capacitive wire temperature sensor, twin thin-film heated polymer capacitive relative humidity sensor and RDF wind"
84,184,iMet-54/iMet-3200/3400 GPS radiosonde with derived pressure from GPS height (South Africa)
85-89,185-189,Not vacant
Not available,190,NCAR research dropsonde NRD94 with GPS and Vaisala RS92-based sensor module (United States)
Not available,191,NCAR research dropsonde NRD41 with GPS and Vaisala RS41-based sensor module (United States)
Not available,192,Vaisala/NCAR dropsonde RD94 with GPS and Vaisala RS92-based sensor module (Finland/United States)
Not available,193,Vaisala/NCAR dropsonde RD41 with GPS and Vaisala RS41-based sensor module (Finland/United States)
Not available,194-196,Reserved for BUFR only
97-99,197-199,Not vacant
Not available,200-254,Reserved for BUFR only
,255,Missing value
