CodeFigureForF1F2,CodeFigureForF3F3F3,Octet5GRIB1_Octet6BUFR3,OriginatingGeneratingCentres,OriginatingGeneratingCentres_ia5,Status
Not applicable,247,247,Operational Programme for the Exchange of weather RAdar information (OPERA) - EUMETNET,Operational Programme for the Exchange of weather RAdar information (OPERA) - EUMETNET,Operational
Not applicable,248,248,Montenegro (NMC),Montenegro (NMC),Operational
Not applicable,249,249,Barcelona Dust Forecast Center,Barcelona Dust Forecast Center,Operational
Not applicable,250,250,COnsortium for Small scale MOdelling  (COSMO),COnsortium for Small scale MOdelling  (COSMO),Operational
Not applicable,251,251,Meteorological Cooperation on Operational NWP (MetCoOp),Meteorological Cooperation on Operational NWP (MetCoOp),Operational
Not applicable,252,252,Max Planck Institute for Meteorology (MPI-M),Max Planck Institute for Meteorology (MPI-M),Operational
Not applicable,253,253,Reserved for other centres,Reserved for other centres,Operational
Not applicable,254,254,EUMETSAT Operation Centre,EUMETSAT Operation Centre,Operational
Not applicable,255,255,Missing value,Missing value,Operational
Not applicable,256-999,Not applicable,Not used,Not used,Operational
