Code,Agency_en,Type_fr,InstrumentShortName_fr,InstrumentLongName_fr,Status
10,BNSC,Radiomètre,AATSR,Radiomètre perfectionné à balayage dans le sens de la trace au sol,Operational
11,BNSC,Radiomètre,ATSR,Radiomètre à balayage dans le sens de la trace au sol,Operational
12,BNSC,Radiomètre,ATSR-2,Radiomètre à balayage dans le sens de la trace au sol - 2,Operational
13,BNSC,Radiomètre,MWR,Radiomètre hyperfréquence,Operational
30,CNES,Communications,ARGOS,ARGOS,Operational
40,CNES,Lidar,Réflecteurs laser,Réflecteurs laser,Operational
41,CNES,Lidar,DORIS,Détermination Doppler d'orbite et radio-localisation intégrées par satellite,Operational
42,CNES,Lidar,DORIS-NG,Détermination Doppler d'orbite et radio-localisation intégrées par satellite-NG,Operational
47,CNES,Altimètre radar,POSEIDON-1 (SSALT1),"Navigateur en orbite de localisation de l'océan, de la terre et de la dynamique des glaces (altimètre radar à semi-conducteurs à fréquence unique)",Operational
48,CNES,Altimètre radar,POSEIDON-2 (SSALT2),"Navigateur en orbite de localisation de l'océan, de la terre et de la dynamique des glaces (altimètre radar à semi-conducteurs bi-fréquence)",Operational
49,CNES,Altimètre radar,POSEIDON-3 (SSALT3),"Navigateur en orbite de localisation de l'océan, de la terre et de la dynamique des glaces (altimètre radar à semi-conducteurs bi-fréquence)",Operational
50,CNES,Radiomètre imageur multispectral,ATSR/M,ATSR/M,Operational
51,CNES,Imageur optique haute résolution,HRG,,Operational
52,CNES,Radiomètre,HRV,Haute résolution dans le spectre visible,Operational
53,CNES,Radiomètre,HRVIR,Haute résolution dans le spectre visible et l'infrarouge,Operational
54,CNES,Radiomètre,ScaRaB/MV2,Scanner du bilan radiatif de la Terre,Operational
55,CNES,Radiomètre,POLDER,POLDER,Operational
56,CNES,Radiomètre imageur multispectral,IIR,Radiomètre imageur dans l'infrarouge,Operational
57,ESA/EUMETSAT,Altimètre radar,POSEIDON-4,"Altimétrie haute précision, altimètre radar double fréquence (bandes C et Ku) à limitation de largeur d'impulsion, ouverture synthétique, faible débit et haut débit entrelacés",Operational
60,CNES,Spectromètre,VEGETATION,VEGETATION,Operational
61,CNES,Spectromètre,WINDII,WINDII,Operational
62,CNES,Altimètre,AltiKa,Altimètre radar en bande Ka,Operational
80,CSA,Communications,RADARSAT DTT,,Operational
81,CSA,Communications,RADARSAT TTC,,Operational
