CodeFigure_OriginatingCentres,Name_OriginatingCentres_fr,CodeFigure_SubCentres,Name_SubCentres_fr,Status
173,US National Aeronautics and Space Administration (NASA),5,Jet Propulsion Laboratory,Operational
173,US National Aeronautics and Space Administration (NASA),6,Johnson Space Center,Operational
173,US National Aeronautics and Space Administration (NASA),7,Kennedy Space Center,Operational
173,US National Aeronautics and Space Administration (NASA),8,Langley Research Center,Operational
173,US National Aeronautics and Space Administration (NASA),9,Marshall Space Flight Center,Operational
173,US National Aeronautics and Space Administration (NASA),10,Stennis Space Center,Operational
173,US National Aeronautics and Space Administration (NASA),11,Goddard Institute for Space Studies,Operational
173,US National Aeronautics and Space Administration (NASA),12,Independent Verification and Validation Facility,Operational
173,US National Aeronautics and Space Administration (NASA),13,NASA Shared Service Center,Operational
173,US National Aeronautics and Space Administration (NASA),14,Wallops Flight Facility,Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,10,Tromso (Norvège),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,11,McMurdo (Antarctique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,12,Sodankyla (Finlande),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,13,Fairbanks (États-Unis d'Amérique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,14,Barrow (États-Unis d'Amérique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,15,Rothera (Antarctique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,20,Honolulu (États-Unis d'Amérique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,21,Gilmore Creek (États-Unis d'Amérique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,22,Madison (États-Unis d'Amérique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,23,Miami (États-Unis d'Amérique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,24,Mayaguez (Porto Rico),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,25,Monterey (États-Unis d'Amérique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,26,Guam,Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,27,Corvallis (États-Unis d'Amérique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,28,Hampton (États-Unis d'Amérique),Operational
176,Institut coopératif pour les études de satellites météorologiques (CIMSS) - États-Unis d'Amérique,29,New York (États-Unis d'Amérique),Operational
177,National Ocean Service de la NOAA – États-Unis d'Amérique,1,Center for Operational Oceanographic Products and Services,Operational
177,National Ocean Service de la NOAA – États-Unis d'Amérique,2,Coast Survey Development Laboratory,Operational
,RÉGION V,,,Operational
2,Melbourne,201,Casey,Operational
2,Melbourne,203,Davis,Operational
2,Melbourne,210,Alice Springs,Operational
2,Melbourne,211,Melbourne Crib Point 1,Operational
2,Melbourne,214,Darwin,Operational
2,Melbourne,217,Perth,Operational
2,Melbourne,219,Townsville,Operational
2,Melbourne,232,Fidji,Operational
