CREX2,GRIB2_BUFR4,OriginatingGeneratingCentre_fr,Status
00000,0,Secrétariat de l'OMM,Operational
,,00001-00009: CMM,Operational
00001,1,Melbourne,Operational
00002,2,Melbourne,Operational
00003,3,),Operational
00004,4,Moscou,Operational
00005,5,Moscou,Operational
00006,6,),Operational
00007,7,Service météorologique national des États-Unis d'Amérique - Centres nationaux de prévision environnementale (NCEP),Operational
00008,8,Centre de transit international du Service météorologique national des États-Unis d'Amérique (NWSTG),Operational
00009,9,Service météorologique national des États-Unis d'Amérique - Autres,Operational
,,00010-00025: Centres dans la Région I,Operational
00010,10,Le Caire (CMRS),Operational
00011,11,),Operational
00012,12,Dakar (CMRS),Operational
00013,13,),Operational
00014,14,Nairobi (CMRS),Operational
00015,15,),Operational
00016,16,Casablanca (CMRS),Operational
00017,17,Tunis (CMRS),Operational
00018,18,Tunis-Casablanca (CMRS),Operational
00019,19,),Operational
00020,20,Las Palmas,Operational
00021,21,Alger (CMRS),Operational
00022,22,ACMAD,Operational
00023,23,Mozambique (CMN),Operational
00024,24,Pretoria (CMRS),Operational
00025,25,La Réunion (CMRS),Operational
,,00026-00040: Centres dans la Région II,Operational
00026,26,Khabarovsk (CMRS),Operational
00027,27,),Operational
00028,28,New Delhi (CMRS),Operational
00029,29,),Operational
00030,30,Novosibirsk (CMRS),Operational
00031,31,),Operational
00032,32,Tachkent (CMRS),Operational
00033,33,Djedda (CMRS),Operational
00034,34,"Tokyo (CMRS), Service météorologique japonais",Operational
00035,35,),Operational
00036,36,Bangkok,Operational
00037,37,Oulan-Bator,Operational
00038,38,Beijing (CMRS),Operational
00039,39,),Operational
00040,40,Séoul,Operational
,,00041-00050: Centres dans la Région III,Operational
00041,41,Buenos Aires (CMRS),Operational
00042,42,),Operational
00043,43,Brasilia (CMRS),Operational
00044,44,),Operational
00045,45,Santiago,Operational
00046,46,Agence spatiale brésilienne – INPE,Operational
00047,47,Colombie (CMN),Operational
00048,48,Équateur (CMN),Operational
00049,49,Pérou (CMN),Operational
00050,50,Venezuela (République bolivarienne du) (CMN),Operational
,,00051-00063: Centres dans la Région IV,Operational
00051,51,Miami (CMRS),Operational
00052,52,"Miami (CMRS), Centre national pour les ouragans",Operational
00053,53,Centre de surveillance (SMC),Operational
00054,54,Montréal (CMRS),Operational
00055,55,San Francisco,Operational
00056,56,Centre ARINC,Operational
00057,57,US Air Force - Air Force Global Weather Central,Operational
00058,58,"Fleet Numerical Meteorology and Oceanography Center, Monterey, CA (États-Unis d'Amérique)",Operational
00059,59,"Laboratoire des systèmes de prévision de la NOAA, Boulder, CO (États-Unis d'Amérique)",Operational
00060,60,Centre national de recherche atmosphérique des États-Unis d'Amérique (NCAR),Operational
00061,61,Service ARGOS-Landover,Operational
