GRIB version number,BUFR version number,CREX version number,Effective date_fr,Status
0,0,0,Version expérimentale,Operational
,1,,1er novembre 1988,Operational
,2,,1er novembre 1993,Operational
,3,,2 novembre 1994,Operational
,4,,8 novembre 1995,Operational
,5,,6 novembre 1996,Operational
,6,,5 novembre 1997,Operational
,7,,4 novembre 1998,Operational
,8,1,3 mai 2000,Operational
,9,,8 novembre 2000,Operational
1,10,2,7 novembre 2001,Operational
2,11,3,5 novembre 2003,Operational
3,12,4,2 novembre 2005,Operational
4,13,5,7 novembre 2007,Operational
5,14,6,4 novembre 2009,Operational
6,15,7,15 September 2010,Operational
7,16,16,4 mai 2011,Operational
8,17,17,2 novembre 2011,Operational
9,18,18,2 mai 2012,Operational
10,19,19,7 novembre 2012,Operational
11,20,20,8 mai 2013,Operational
12,21,21,14 novembre 2013,Operational
13,22,22,7 mai 2014,Operational
14,23,23,5 novembre 2014,Operational
15,24,24,6 mai 2015,Operational
16,25,25,11 novembre 2015,Operational
17,26,26,4 mai 2016,Operational
18,27,27,2 novembre 2016,Operational
19,28,28,3 mai 2017,Operational
20,29,29,8 novembre 2017,Operational
21,30,30,2 mai 2018,Operational
22,31,31,7 novembre 2018,Operational
23,32,32,15 mai 2019,Operational
24,33,33,6 novembre 2019,Operational
25,34,34,Version en préexploitation devant entrer en vigueur avec le,Operational
26-254,35-254,35-254,Versions futures,Operational
255,255,255,Valeur manquante,Operational
