CodeFigureForIXIIXIX,CodeFigureForBUFR,InstrumentMakeAndType_fr,EquationCoefficients_a,EquationCoefficients_b,Status
841,841,"PROVOR, capteur de conductivité Sea-Bird",Sans objet,Sans objet,Operational
842,842,"PROVOR, capteur de conductivité FSI",Sans objet,Sans objet,Operational
843,843,"Système de profilage de l'océan dans les régions polaires, PROVOR, SBE CTD",,,Operational
844,844,"Flotteur profilant, ARVOR, capteur de conductivité Sea-Bird",,,Operational
845,845,"Webb Research, sans capteur de conductivité",Sans objet,Sans objet,Operational
846,846,"Webb Research, capteur de conductivité Sea-Bird",Sans objet,Sans objet,Operational
847,847,"Webb Research, capteur de conductivité FSI",Sans objet,Sans objet,Operational
848,848,"APEX-EM, capteur de conductivité SBE",,,Operational
849,849,"APEX_D, capteur de conductivité SBE",,,Operational
850,850,"SOLO, sans capteur de conductivité",Sans objet,Sans objet,Operational
851,851,"SOLO, capteur de conductivité Sea-Bird",Sans objet,Sans objet,Operational
852,852,"SOLO, capteur de conductivité FSI",Sans objet,Sans objet,Operational
853,853,"Flotteur profilant, SOLO2 (SCRIPPS), capteur de conductivité Sea-Bird",,,Operational
854,854,"S2A, capteur de conductivité SBE",Sans objet,Sans objet,Operational
855,855,"Flotteur profilant NINJA, sans capteur de conductivité",Sans objet,Sans objet,Operational
856,856,"Flotteur profilant NINJA, capteur de conductivité SBE",Sans objet,Sans objet,Operational
857,857,"Flotteur profilant NINJA, capteur de conductivité FSI",Sans objet,Sans objet,Operational
858,858,"Flotteur profilant NINJA, capteur de conductivité TSK",Sans objet,Sans objet,Operational
859,859,"Flotteur profilant NEMO, sans capteur de conductivité",Sans objet,Sans objet,Operational
860,860,"Flotteur profilant NEMO, capteur de conductivité SBE",Sans objet,Sans objet,Operational
861,861,"Flotteur profilant NEMO, capteur de conductivité FSI",Sans objet,Sans objet,Operational
862,862,"SOLO_D, capteur de conductivité SBE",,,Operational
863,863,"NAVIS-A, capteur de conductivité SBE",,,Operational
864,864,"NINJA_D, capteur de conductivité SBE",,,Operational
865,865,"NOVA, capteur de conductivité SBE",,,Operational
866,866,"ALAMO, sans capteur de conductivité",,,Operational
867,867,"ALAMO, capteur de conductivité RBR",,,Operational
868,868,"ALAMO, capteur de conductivité SBE",,,Operational
869,869,En réserve,,,Operational
870,870,HM2000,Sans objet,Sans objet,Operational
871,871,COPEX,Sans objet,Sans objet,Operational
872,872,S2X,Sans objet,Sans objet,Operational
873,873,ALTO,Sans objet,Sans objet,Operational
874,874,SOLO D MRV,Sans objet,Sans objet,Operational
875-899,873-899,En réserve,,,Operational
900,900,Sippican LMP-5 XBT,"9,727","-0,0473",Operational
901,901,"Profileur fixé sur la banquise, SBE CTD",,,Operational
902,902,"Brooke Ocean, MVP (enregistreur de profil à partir de navire mobile)",,,Operational
903,903,"Sea-Bird, CTD",,,Operational
904,904,"AML Oceanographic, CTD",,,Operational
905,905,"Falmouth Scientific, CTD",,,Operational
906,906,"Ocean Sensors, CTD",,,Operational
907,907,"Valeport, CTD",,,Operational
908,908,"Oceanscience, MVP",,,Operational
909,909,"IDRONAUT, CTD",,,Operational
910,910,"Sea-Bird, SBE 38",,,Operational
911-994,911-994,En réserve,,,Operational
995,995,Instrument attaché sur des mammifères marins,Sans objet,Sans objet,Operational
996,996,Instrument attaché sur des animaux autres que des mammifères marins,Sans objet,Sans objet,Operational
997-999,997-999,En réserve,,,Operational
,1000-1022,En réserve,,,Operational
,1023,Valeur manquante,,,Operational
