CodeFigure,Meaning_fr,ChemicalFormula,Status
10040,Hydroperoxyde d'isopropyle (2-hydroperoxypropane),(CH3)2CHOOH,Operational
10041,Hydroxyacétone (1-hydroxypropan-2-one),CH3C(O)CH2OH,Operational
10042,Acide peroxyacétique (acide éthane peroxoïque),CH3C(O)OOH,Operational
10043,Méthyl vinyl cétone (but-3-én-2-one),CH3C(O)CHCH2,Operational
10044,Radical phénoxy,C6H5O•,Operational
10045,Radical méthyle,CH3•,Operational
10046,Sulfure de carbonyle (oxysulfure de carbone),OCS,Operational
10047,Dibromométhane,CH2Br2,Operational
10048,Radical méthoxy,CH3O•,Operational
10049,Tribromométhane,CHBr3,Operational
10050,Radical formyle (radical oxométhyle),HOC•,Operational
10051,Radical hydroxyméthyle dioxidanyl,HOCH2OO•,Operational
10052,Hydroperoxide d'éthyle,CH3CH2OOH,Operational
10053,Radical 3-hydroxypropyle dioxidanyl,HOCH2CH2CH2OO•,Operational
10054,Hydroperoxyde 3-hydroxypropyle,HOCH2CH2CH2OOH,Operational
10055-10499,"En réserve pour d'autres molécules organiques simples (par ex: peroxydes, alcools, aldéhydes supérieurs, etc.)",,Operational
10500,Sulfure de diméthyle,CH3SCH3,Operational
10501,DMSO (diméthylsulfoxyde),(CH3)2SO,Operational
10502-20000,En réserve,,Operational
20001,Chlorure d'hydrogène,HCl,Operational
20002,CFC-11 (trichlorofluorométhane),CCl3F,Operational
20003,CFC-12 (dichlorodifluorométhane),CCl2F2,Operational
20004,"CFC-113 (1,1,2-trichloro-1,2,2-trifluoroéthane)",Cl2FC-CClF2,Operational
20005,"CFC-113a (1,1,1-trichloro-2,2,2-trifluoroéthane)",Cl3C-CF3,Operational
20006,"CFC-114 (1,2-dichloro-1,1,2,2-tétrafluoroéthane)",ClF2C-CClF2,Operational
20007,"CFC-115 (1-chloro-1,1,2,2,2-pentafluoroéthane)",ClF2C-CF3,Operational
20008,HCFC-22 (chlorodifluorométhane),CHClF2,Operational
20009,"HCFC-141b (1,1-dichloro-1-fluoroéthane)",Cl2FC-CH3,Operational
20010,"HCFC-142b (1-chloro-1,1-difluoroéthane)",ClF2C-CH3,Operational
20011,Halon-1202 (dibromodifluorométhane),CBr2F2,Operational
20012,Halon-1211 (bromochlorodifluorométhane),CBrClF2,Operational
20013,Halon-1301 (bromotrifluorométhane),CBrF3,Operational
20014,"Halon-2402 (1,2-dibromo-1,1,2,2-tétrafluoroéthane)",BrF2C-CBrF2,Operational
20015,HCC-40 (chlorure de méthyle),CH3Cl,Operational
20016,HCC-10 (tétrachlorure de carbone),CCl4,Operational
20017,"HCC-140a (1,1,1-trichloroéthane)",Cl3C-CH3,Operational
20018,HBC-40B1 (bromure de méthyle),CH3Br,Operational
20019,HCH (hexachlorocyclohexane) tous isomères,C6H6Cl6,Operational
20020,α-HCH (α-hexachlorocyclohexane) deux énantiomères,α-C6H6Cl6,Operational
20021,"PCB-153 (2,2',4,4',5,5'-hexachlorobiphényle)",(C6H2Cl3)2,Operational
20022,"HCFC-141a (1,1-dichloro-2-fluoroéthane)",Cl2HC-CH2F,Operational
20023-29999,En réserve,,Operational
30000,"Polluant radioactif (traceur, défini par le centre d'origine)",,Operational
30001-30009,En réserve,,Operational
30010,Tritium (Hydrogène 3),H-3,Operational
30011,Tritium organique lié,H-3o,Operational
30012,Tritium inorganique,H-3a,Operational
30013,Béryllium 7,Be-7,Operational
30014,Béryllium 10,Be-10,Operational
30015,Carbone 14,C-14,Operational
30016,Carbone 14 CO2,C-14CO2,Operational
30017,Carbone 14 autres gaz,C-14og,Operational
30018,Azote 13,N-13,Operational
30019,Azote 16,N-16,Operational
30020,Fluor 18,F-18,Operational
30021,Sodium 22,Na-22,Operational
30022,Phosphate 32,P-32,Operational
30023,Phosphate 33,P-33,Operational
30024,Soufre 35,S-35,Operational
30025,Chlore 36,Cl-36,Operational
30026,Potassium 40,K-40,Operational
30027,Argon 41,Ar-41,Operational
30028,Calcium 41,Ca-41,Operational
30029,Calcium 45,Ca-45,Operational
30030,Titane 44,Ti-44,Operational
30031,Scandium 46,Sc-46,Operational
30032,Vanadium 48,V-48,Operational
30033,Vanadium 49,V-49,Operational
30034,Chrome 51,Cr-51,Operational
30035,Manganèse 52,Mn-52,Operational
30036,Manganèse 54,Mn-54,Operational
30037,Fer 55,Fe-55,Operational
30038,Fer 59,Fe-59,Operational
30039,Cobalt 56,Co-56,Operational
30040,Cobalt 57,Co-57,Operational
30041,Cobalt 58,Co-58,Operational
30042,Cobalt 60,Co-60,Operational
30043,Nickel 59,Ni-59,Operational
30044,Nickel 63,Ni-63,Operational
30045,Zinc 65,Zn-65,Operational
30046,Gallium 67,Ga-67,Operational
30047,Gallium 68,Ga-68,Operational
30048,Germanium 68,Ge-68,Operational
30049,Germanium 69,Ge-69,Operational
30050,Arsenic 73,As-73,Operational
30051,Sélénium 75,Se-75,Operational
30052,Sélénium 79,Se-79,Operational
30053,Rubidium 81,Rb-81,Operational
30054,Rubidium 83,Rb-83,Operational
30055,Rubidium 84,Rb-84,Operational
30056,Rubidium 86,Rb-86,Operational
30057,Rubidium 87,Rb-87,Operational
30058,Rubidium 88,Rb-88,Operational
30059,Krypton 85,Kr-85,Operational
30060,Krypton 85 métastable,Kr-85m,Operational
30061,Krypton 87,Kr-87,Operational
30062,Krypton 88,Kr-88,Operational
30063,Krypton 89,Kr-89,Operational
30064,Strontium 85,Sr-85,Operational
30065,Strontium 89,Sr-89,Operational
30066,Strontium 89/90,Sr-8990,Operational
30067,Strontium 90,Sr-90,Operational
